copy and paste JSON data,,,,,,,,add manually,automatic calculation,,,,,,,,num,start,end,opening hours,closing hours,stage,weapon 1,weapon 2,weapon 3,weapon 4,rare wepon,weapon set type,weapons text
342,1554292800,1554422400,5,30,230,80,2010,,0,4,30,230,80,2010,0,0,343,2019/04/05 15:00,2019/04/07 3:00,36,6,トキシラズいぶし工房,ケルビン525,スパイガジェット,スプラローラー,ラピッドブラスター,,普通編成,"ケルビン525,スパイガジェット,スプラローラー,ラピッドブラスター"
343,1554444000,1554573600,4,5020,6020,1010,240,,0,3,5020,6020,1010,240,0,0,344,2019/04/07 9:00,2019/04/09 3:00,42,6,海上集落シャケト場,プライムシューター,わかばシューター,デュアルスイーパー,ハイドラント,,普通編成,"プライムシューター,わかばシューター,デュアルスイーパー,ハイドラント"
344,1554595200,1554746400,3,70,10,5030,4020,,0,2,70,10,5030,4020,0,0,345,2019/04/09 9:00,2019/04/10 21:00,36,6,難破船ドン･ブラコ,ダイナモローラー,ノヴァブラスター,シャープマーカー,ジェットスイーパー,,普通編成,"ダイナモローラー,ノヴァブラスター,シャープマーカー,ジェットスイーパー"
345,1554768000,1554897600,2,1020,200,20,90,,0,1,1020,200,20,90,0,0,346,2019/04/11 3:00,2019/04/12 15:00,36,6,トキシラズいぶし工房,.52ガロン,クアッドホッパーブラック,スプラスピナー,リッター4K,,普通編成,".52ガロン,クアッドホッパーブラック,スプラスピナー,リッター4K"
346,1554919200,1555048800,4,50,5040,4000,2030,,0,3,50,5040,4000,2030,0,0,347,2019/04/12 21:00,2019/04/14 15:00,42,6,朽ちた箱舟 ポラリス,ボールドマーカー,ノーチラス47,スプラスコープ,緑？ (クマサン印のチャージャー),クマサン印のチャージャー,一緑編成,"ボールドマーカー,ノーチラス47,スプラスコープ,緑？ (クマサン印のチャージャー)"
347,1555070400,1555221600,5,0,4040,2020,-1,7020,1,4,0,4040,2020,8020,1,0,348,2019/04/14 21:00,2019/04/16 9:00,36,6,海上集落シャケト場,ホットブラスター,ボトルガイザー,オーバーフロッシャー,スクイックリンα,,普通編成,"ホットブラスター,ボトルガイザー,オーバーフロッシャー,スクイックリンα"
348,1555243200,1555372800,3,210,400,3030,2000,,0,2,210,400,3030,2000,0,0,349,2019/04/16 15:00,2019/04/18 3:00,36,6,シェケナダム,パラシェルター,H3リールガン,スプラマニューバー,キャンピングシェルター,,普通編成,"パラシェルター,H3リールガン,スプラマニューバー,キャンピングシェルター"
349,1555394400,1555524000,1,6000,310,5010,6010,,0,0,6000,310,5010,6010,0,0,350,2019/04/18 9:00,2019/04/19 21:00,36,6,難破船ドン･ブラコ,ヴァリアブルローラー,ヒッセン,プライムシューター,リッター4K,,普通編成,"ヴァリアブルローラー,ヒッセン,プライムシューター,リッター4K"
350,1555545600,1555675200,2,1030,3010,70,2030,,0,1,1030,3010,70,2030,0,0,351,2019/04/20 3:00,2019/04/21 21:00,42,6,トキシラズいぶし工房,緑？ (クマサン印のスロッシャー),緑？ (クマサン印のスロッシャー),緑？ (クマサン印のスロッシャー),緑？ (クマサン印のスロッシャー),クマサン印のスロッシャー,全緑編成,"緑？ (クマサン印のスロッシャー),緑？ (クマサン印のスロッシャー),緑？ (クマサン印のスロッシャー),緑？ (クマサン印のスロッシャー)"
351,1555696800,1555848000,4,-1,-1,-1,-1,7030,2,3,8030,8030,8030,8030,4,0,352,2019/04/22 3:00,2019/04/23 15:00,36,6,朽ちた箱舟 ポラリス,デュアルスイーパー,スクリュースロッシャー,クラッシュブラスター,スプラスコープ,,普通編成,"デュアルスイーパー,スクリュースロッシャー,クラッシュブラスター,スプラスコープ"
352,1555869600,1555999200,5,5030,3020,230,2020,,0,4,5030,3020,230,2020,0,0,353,2019/04/23 21:00,2019/04/25 9:00,36,6,シェケナダム,スパッタリー,.96ガロン,ホクサイ,スプラチャージャー,,普通編成,"スパッタリー,.96ガロン,ホクサイ,スプラチャージャー"
353,1556020800,1556150400,1,5000,80,1110,2010,,0,0,5000,80,1110,2010,0,0,354,2019/04/25 15:00,2019/04/27 3:00,36,6,海上集落シャケト場,スプラローラー,L3リールガン,スプラスピナー,キャンピングシェルター,,普通編成,"スプラローラー,L3リールガン,スプラスピナー,キャンピングシェルター"
354,1556172000,1556301600,3,1010,300,4000,6010,,0,2,1010,300,4000,6010,0,0,355,2019/04/27 9:00,2019/04/29 3:00,42,6,難破船ドン･ブラコ,わかばシューター,バケットスロッシャー,.52ガロン,14式竹筒銃・甲,,普通編成,"わかばシューター,バケットスロッシャー,.52ガロン,14式竹筒銃・甲"
355,1556323200,1556474400,2,10,3000,50,2050,,0,1,10,3000,50,2050,0,0,356,2019/04/29 9:00,2019/04/30 21:00,36,6,朽ちた箱舟 ポラリス,N-ZAP85,クーゲルシュライバー,ロングブラスター,スクイックリンα,,普通編成,"N-ZAP85,クーゲルシュライバー,ロングブラスター,スクイックリンα"
356,1556496000,1556625600,5,60,4030,220,2000,,0,4,60,4030,220,2000,0,0,357,2019/05/01 3:00,2019/05/02 15:00,36,6,トキシラズいぶし工房,スプラシューター,ホットブラスター,H3リールガン,バレルスピナー,,普通編成,"スプラシューター,ホットブラスター,H3リールガン,バレルスピナー"
357,1556647200,1556776800,4,40,210,310,4010,,0,3,40,210,310,4010,0,0,358,2019/05/02 21:00,2019/05/04 9:00,36,6,難破船ドン･ブラコ,スプラマニューバー,パブロ,ノーチラス47,ジェットスイーパー,,普通編成,"スプラマニューバー,パブロ,ノーチラス47,ジェットスイーパー"
358,1556798400,1556928000,2,5010,1100,4040,90,,0,1,5010,1100,4040,90,0,0,359,2019/05/04 15:00,2019/05/06 13:00,46,2,海上集落シャケト場,金？,金？,金？,金？,すべてのクマサン印のブキ,黄金編成,"金？,金？,金？,金？"
359,1556949600,1557115200,3,-2,-2,-2,-2,,3,2,-2,-2,-2,-2,0,4,360,2019/05/06 15:00,2019/05/08 3:00,36,6,シェケナダム,プライムシューター,パラシェルター,クアッドホッパーブラック,Rブラスターエリート,,普通編成,"プライムシューター,パラシェルター,クアッドホッパーブラック,Rブラスターエリート"
360,1557122400,1557252000,1,70,6000,5040,250,,0,0,70,6000,5040,250,0,0,361,2019/05/08 9:00,2019/05/09 21:00,36,4,朽ちた箱舟 ポラリス,バケットスロッシャー,ボトルガイザー,ボールドマーカー,ソイチューバー,,普通編成,"バケットスロッシャー,ボトルガイザー,ボールドマーカー,ソイチューバー"
361,1557273600,1557403200,5,3000,400,0,2060,,0,4,3000,400,0,2060,0,0,362,2019/05/10 1:00,2019/05/11 13:00,36,8,トキシラズいぶし工房,クラッシュブラスター,ノーチラス47,エクスプロッシャー,ジェットスイーパー,,普通編成,"クラッシュブラスター,ノーチラス47,エクスプロッシャー,ジェットスイーパー"
362,1557417600,1557547200,4,230,4040,3040,90,,0,3,230,4040,3040,90,0,0,363,2019/05/11 21:00,2019/05/13 15:00,42,6,海上集落シャケト場,ケルビン525,シャープマーカー,ノヴァブラスター,バレルスピナー,,普通編成,"ケルビン525,シャープマーカー,ノヴァブラスター,バレルスピナー"
363,1557576000,1557727200,3,5020,20,200,4010,,0,2,5020,20,200,4010,0,0,364,2019/05/13 21:00,2019/05/15 9:00,36,6,難破船ドン･ブラコ,クーゲルシュライバー,スパイガジェット,.52ガロン,スクイックリンα,,普通編成,"クーゲルシュライバー,スパイガジェット,.52ガロン,スクイックリンα"
364,1557748800,1557878400,2,4030,6020,50,2000,,0,1,4030,6020,50,2000,0,0,365,2019/05/15 15:00,2019/05/17 3:00,36,4,シェケナダム,スプラスピナー,ヒッセン,.96ガロン,ハイドラント,,普通編成,"スプラスピナー,ヒッセン,.96ガロン,ハイドラント"
365,1557900000,1558029600,1,4000,3010,80,4020,,0,0,4000,3010,80,4020,0,0,366,2019/05/17 7:00,2019/05/18 19:00,36,8,朽ちた箱舟 ポラリス,ヴァリアブルローラー,ホットブラスター,L3リールガン,リッター4K,,普通編成,"ヴァリアブルローラー,ホットブラスター,L3リールガン,リッター4K"
366,1558044000,1558173600,5,1030,210,300,2030,,0,4,1030,210,300,2030,0,0,367,2019/05/19 3:00,2019/05/20 21:00,42,6,難破船ドン･ブラコ,緑？ (クマサン印のシェルター),緑？ (クマサン印のシェルター),緑？ (クマサン印のシェルター),緑？ (クマサン印のシェルター),クマサン印のシェルター,全緑編成,"緑？ (クマサン印のシェルター),緑？ (クマサン印のシェルター),緑？ (クマサン印のシェルター),緑？ (クマサン印のシェルター)"
367,1558202400,1558353600,2,-1,-1,-1,-1,7010,2,1,8010,8010,8010,8010,4,0,368,2019/05/21 3:00,2019/05/22 15:00,36,6,トキシラズいぶし工房,ボトルガイザー,スプラマニューバー,わかばシューター,14式竹筒銃・甲,,普通編成,"ボトルガイザー,スプラマニューバー,わかばシューター,14式竹筒銃・甲"
368,1558375200,1558504800,4,400,5010,10,2050,,0,3,400,5010,10,2050,0,0,369,2019/05/22 21:00,2019/05/24 9:00,36,6,海上集落シャケト場,クアッドホッパーブラック,パブロ,.52ガロン,スプラスコープ,,普通編成,"クアッドホッパーブラック,パブロ,.52ガロン,スプラスコープ"
369,1558526400,1558656000,3,5040,1100,50,2020,,0,2,5040,1100,50,2020,0,0,370,2019/05/24 15:00,2019/05/26 3:00,36,6,シェケナダム,ケルビン525,スパイガジェット,バケットスロッシャー,バレルスピナー,,普通編成,"ケルビン525,スパイガジェット,バケットスロッシャー,バレルスピナー"
370,1558677600,1558807200,1,5020,6020,3000,4010,,0,0,5020,6020,3000,4010,0,0,371,2019/05/26 9:00,2019/05/28 3:00,42,6,朽ちた箱舟 ポラリス,スプラローラー,スパッタリー,プライムシューター,キャンピングシェルター,,普通編成,"スプラローラー,スパッタリー,プライムシューター,キャンピングシェルター"
371,1558828800,1558980000,5,1010,5000,70,6010,,0,4,1010,5000,70,6010,0,0,372,2019/05/28 9:00,2019/05/29 21:00,36,6,トキシラズいぶし工房,ボールドマーカー,クーゲルシュライバー,スクリュースロッシャー,リッター4K,,普通編成,"ボールドマーカー,クーゲルシュライバー,スクリュースロッシャー,リッター4K"
372,1559001600,1559131200,4,0,4030,3020,2030,,0,3,0,4030,3020,2030,0,0,373,2019/05/30 3:00,2019/05/31 15:00,36,6,難破船ドン･ブラコ,.96ガロン,ノヴァブラスター,L3リールガン,スプラチャージャー,,普通編成,".96ガロン,ノヴァブラスター,L3リールガン,スプラチャージャー"
373,1559152800,1559282400,2,80,200,300,2010,,0,1,80,200,300,2010,0,0,374,2019/05/31 21:00,2019/06/02 15:00,42,6,シェケナダム,プロモデラーMG,デュアルスイーパー,エクスプロッシャー,緑？ (クマサン印のチャージャー),クマサン印のチャージャー,一緑編成,"プロモデラーMG,デュアルスイーパー,エクスプロッシャー,緑？ (クマサン印のチャージャー)"
374,1559304000,1559455200,1,30,5030,3040,-1,7020,1,0,30,5030,3040,8020,1,0,375,2019/06/02 21:00,2019/06/04 9:00,36,6,朽ちた箱舟 ポラリス,スプラシューター,ヒッセン,スパイガジェット,ジェットスイーパー,,普通編成,"スプラシューター,ヒッセン,スパイガジェット,ジェットスイーパー"
375,1559476800,1559606400,5,40,3010,6020,90,,0,4,40,3010,6020,90,0,0,376,2019/06/04 15:00,2019/06/06 3:00,36,6,海上集落シャケト場,ヴァリアブルローラー,わかばシューター,オーバーフロッシャー,バレルスピナー,,普通編成,"ヴァリアブルローラー,わかばシューター,オーバーフロッシャー,バレルスピナー"
376,1559628000,1559757600,3,1030,10,3030,4010,,0,2,1030,10,3030,4010,0,0,377,2019/06/06 9:00,2019/06/07 21:00,36,6,トキシラズいぶし工房,N-ZAP85,ノーチラス47,ダイナモローラー,スクイックリンα,,普通編成,"N-ZAP85,ノーチラス47,ダイナモローラー,スクイックリンα"
377,1559779200,1559908800,4,60,4040,1020,2000,,0,3,60,4040,1020,2000,0,0,378,2019/06/08 3:00,2019/06/09 21:00,42,6,難破船ドン･ブラコ,シャープマーカー,パラシェルター,H3リールガン,リッター4K,,普通編成,"シャープマーカー,パラシェルター,H3リールガン,リッター4K"
378,1559930400,1560081600,2,20,6000,310,2030,,0,1,20,6000,310,2030,0,0,379,2019/06/10 3:00,2019/06/11 15:00,36,6,シェケナダム,ヒッセン,スパッタリー,スクリュースロッシャー,ソイチューバー,,普通編成,"ヒッセン,スパッタリー,スクリュースロッシャー,ソイチューバー"
379,1560103200,1560232800,1,3010,5000,3020,2060,,0,0,3010,5000,3020,2060,0,0,380,2019/06/11 21:00,2019/06/13 9:00,36,6,朽ちた箱舟 ポラリス,カーボンローラー,スプラマニューバー,プライムシューター,ラピッドブラスター,,普通編成,"カーボンローラー,スプラマニューバー,プライムシューター,ラピッドブラスター"
380,1560254400,1560384000,5,1000,5010,70,240,,0,4,1000,5010,70,240,0,0,381,2019/06/13 15:00,2019/06/15 3:00,36,6,トキシラズいぶし工房,スプラスピナー,バケットスロッシャー,ヴァリアブルローラー,デュアルスイーパー,,普通編成,"スプラスピナー,バケットスロッシャー,ヴァリアブルローラー,デュアルスイーパー"
381,1560405600,1560535200,4,4000,3000,1030,5030,,0,3,4000,3000,1030,5030,0,0,382,2019/06/15 9:00,2019/06/17 3:00,42,6,海上集落シャケト場,緑？ (クマサン印のブラスター),緑？ (クマサン印のブラスター),緑？ (クマサン印のブラスター),緑？ (クマサン印のブラスター),クマサン印のブラスター,全緑編成,"緑？ (クマサン印のブラスター),緑？ (クマサン印のブラスター),緑？ (クマサン印のブラスター),緑？ (クマサン印のブラスター)"
382,1560556800,1560708000,3,-1,-1,-1,-1,7000,2,2,8000,8000,8000,8000,4,0,383,2019/06/17 9:00,2019/06/18 21:00,36,6,難破船ドン･ブラコ,N-ZAP85,ノーチラス47,パブロ,4Kスコープ,,普通編成,"N-ZAP85,ノーチラス47,パブロ,4Kスコープ"
383,1560729600,1560859200,2,60,4040,1100,2040,,0,1,60,4040,1100,2040,0,0,384,2019/06/19 3:00,2019/06/20 15:00,36,6,朽ちた箱舟 ポラリス,クラッシュブラスター,シャープマーカー,クアッドホッパーブラック,ハイドラント,,普通編成,"クラッシュブラスター,シャープマーカー,クアッドホッパーブラック,ハイドラント"
384,1560880800,1561010400,5,230,20,5040,4020,,0,4,230,20,5040,4020,0,0,385,2019/06/20 21:00,2019/06/22 9:00,36,6,シェケナダム,ホットブラスター,デュアルスイーパー,ボールドマーカー,スプラスコープ,,普通編成,"ホットブラスター,デュアルスイーパー,ボールドマーカー,スプラスコープ"
385,1561032000,1561161600,1,210,5030,0,2020,,0,0,210,5030,0,2020,0,0,386,2019/06/22 15:00,2019/06/24 9:00,42,6,トキシラズいぶし工房,わかばシューター,ノヴァブラスター,オーバーフロッシャー,キャンピングシェルター,,普通編成,"わかばシューター,ノヴァブラスター,オーバーフロッシャー,キャンピングシェルター"
386,1561183200,1561334400,4,10,200,3030,6010,,0,3,10,200,3030,6010,0,0,387,2019/06/24 15:00,2019/06/26 3:00,36,6,海上集落シャケト場,H3リールガン,L3リールガン,スパッタリー,スクイックリンα,,普通編成,"H3リールガン,L3リールガン,スパッタリー,スクイックリンα"
387,1561356000,1561485600,3,310,300,5000,2000,,0,2,310,300,5000,2000,0,0,388,2019/06/26 9:00,2019/06/27 21:00,36,6,難破船ドン･ブラコ,カーボンローラー,.96ガロン,クーゲルシュライバー,14式竹筒銃・甲,,普通編成,"カーボンローラー,.96ガロン,クーゲルシュライバー,14式竹筒銃・甲"
388,1561507200,1561636800,2,1000,80,4030,2050,,0,1,1000,80,4030,2050,0,0,389,2019/06/28 3:00,2019/06/29 15:00,36,6,シェケナダム,スプラローラー,スプラマニューバー,スプラスピナー,ジェットスイーパー,,普通編成,"スプラローラー,スプラマニューバー,スプラスピナー,ジェットスイーパー"
389,1561658400,1561788000,1,1010,5010,4000,90,,0,0,1010,5010,4000,90,0,0,390,2019/06/29 21:00,2019/07/01 15:00,42,6,朽ちた箱舟 ポラリス,.52ガロン,バケットスロッシャー,スプラチャージャー,緑？ (クマサン印のスロッシャー),クマサン印のスロッシャー,一緑編成,".52ガロン,バケットスロッシャー,スプラチャージャー,緑？ (クマサン印のスロッシャー)"
390,1561809600,1561960800,5,50,3000,2010,-1,7030,1,4,50,3000,2010,8030,1,0,391,2019/07/01 21:00,2019/07/03 9:00,36,6,トキシラズいぶし工房,プロモデラーMG,スプラシューター,ロングブラスター,リッター4K,,普通編成,"プロモデラーMG,スプラシューター,ロングブラスター,リッター4K"
391,1561982400,1562112000,4,30,40,220,2030,,0,3,30,40,220,2030,0,0,392,2019/07/03 15:00,2019/07/05 3:00,36,6,海上集落シャケト場,スクリュースロッシャー,シャープマーカー,クーゲルシュライバー,Rブラスターエリート,,普通編成,"スクリュースロッシャー,シャープマーカー,クーゲルシュライバー,Rブラスターエリート"
392,1562133600,1562263200,3,3020,20,4030,250,,0,2,3020,20,4030,250,0,0,393,2019/07/05 9:00,2019/07/06 21:00,36,6,難破船ドン･ブラコ,L3リールガン,ボールドマーカー,ヴァリアブルローラー,ハイドラント,,普通編成,"L3リールガン,ボールドマーカー,ヴァリアブルローラー,ハイドラント"
393,1562284800,1562414400,2,300,0,1030,4020,,0,1,300,0,1030,4020,0,0,394,2019/07/07 3:00,2019/07/08 21:00,42,6,シェケナダム,N-ZAP85,スパッタリー,オーバーフロッシャー,ソイチューバー,,普通編成,"N-ZAP85,スパッタリー,オーバーフロッシャー,ソイチューバー"
394,1562436000,1562587200,1,60,5000,3030,2060,,0,0,60,5000,3030,2060,0,0,395,2019/07/09 3:00,2019/07/10 15:00,36,6,朽ちた箱舟 ポラリス,ケルビン525,パブロ,パラシェルター,バレルスピナー,,普通編成,"ケルビン525,パブロ,パラシェルター,バレルスピナー"
395,1562608800,1562738400,5,5020,1100,6000,4010,,0,4,5020,1100,6000,4010,0,0,396,2019/07/10 21:00,2019/07/12 9:00,36,6,トキシラズいぶし工房,スプラローラー,シャープマーカー,エクスプロッシャー,デュアルスイーパー,,普通編成,"スプラローラー,シャープマーカー,エクスプロッシャー,デュアルスイーパー"
396,1562760000,1562889600,4,1010,20,3040,5030,,0,3,1010,20,3040,5030,0,0,397,2019/07/12 15:00,2019/07/14 3:00,36,6,海上集落シャケト場,.52ガロン,わかばシューター,ノヴァブラスター,スプラチャージャー,,普通編成,".52ガロン,わかばシューター,ノヴァブラスター,スプラチャージャー"
397,1562911200,1563040800,3,50,10,200,2010,,0,2,50,10,200,2010,0,0,398,2019/07/14 9:00,2019/07/16 3:00,42,6,難破船ドン･ブラコ,ボールドマーカー,クアッドホッパーブラック,プライムシューター,スプラスコープ,,普通編成,"ボールドマーカー,クアッドホッパーブラック,プライムシューター,スプラスコープ"
398,1563062400,1563213600,2,0,5040,70,2020,,0,1,0,5040,70,2020,0,0,399,2019/07/16 9:00,2019/07/17 21:00,36,4,シェケナダム,ヴァリアブルローラー,パラシェルター,ボトルガイザー,スクイックリンα,,普通編成,"ヴァリアブルローラー,パラシェルター,ボトルガイザー,スクイックリンα"
399,1563235200,1563364800,1,1030,6000,400,2000,,0,0,1030,6000,400,2000,0,0,400,2019/07/18 1:00,2019/07/19 19:00,42,2,トキシラズいぶし工房,緑？ (クマサン印のチャージャー),緑？ (クマサン印のチャージャー),緑？ (クマサン印のチャージャー),緑？ (クマサン印のチャージャー),クマサン印のチャージャー,全緑編成,"緑？ (クマサン印のチャージャー),緑？ (クマサン印のチャージャー),緑？ (クマサン印のチャージャー),緑？ (クマサン印のチャージャー)"
400,1563379200,1563530400,4,-1,-1,-1,-1,7020,2,3,8020,8020,8020,8020,4,0,401,2019/07/19 21:00,2019/07/21 19:00,46,4,朽ちた箱舟 ポラリス,金？,金？,金？,金？,すべてのクマサン印のブキ,黄金編成,"金？,金？,金？,金？"
401,1563537600,1563703200,5,-2,-2,-2,-2,,3,4,-2,-2,-2,-2,0,4,402,2019/07/21 23:00,2019/07/23 11:00,36,4,難破船ドン･ブラコ,ホットブラスター,スパイガジェット,シャープマーカー,バレルスピナー,,普通編成,"ホットブラスター,スパイガジェット,シャープマーカー,バレルスピナー"
402,1563717600,1563847200,2,210,6020,20,4010,,0,1,210,6020,20,4010,0,0,403,2019/07/23 15:00,2019/07/25 3:00,36,6,海上集落シャケト場,ノヴァブラスター,.96ガロン,クアッドホッパーブラック,リッター4K,,普通編成,"ノヴァブラスター,.96ガロン,クアッドホッパーブラック,リッター4K"
403,1563861600,1563991200,3,200,80,5040,2030,,0,2,200,80,5040,2030,0,0,404,2019/07/25 9:00,2019/07/26 21:00,36,6,シェケナダム,スプラローラー,スプラシューター,オーバーフロッシャー,キャンピングシェルター,,普通編成,"スプラローラー,スプラシューター,オーバーフロッシャー,キャンピングシェルター"
404,1564012800,1564142400,1,1010,40,3030,6010,,0,0,1010,40,3030,6010,0,0,405,2019/07/27 3:00,2019/07/28 21:00,42,6,トキシラズいぶし工房,パブロ,バケットスロッシャー,N-ZAP85,Rブラスターエリート,,普通編成,"パブロ,バケットスロッシャー,N-ZAP85,Rブラスターエリート"
405,1564164000,1564315200,4,1100,3000,60,250,,0,3,1100,3000,60,250,0,0,406,2019/07/29 3:00,2019/07/30 15:00,36,6,海上集落シャケト場,ヒッセン,ボールドマーカー,デュアルスイーパー,4Kスコープ,,普通編成,"ヒッセン,ボールドマーカー,デュアルスイーパー,4Kスコープ"
406,1564336800,1564466400,3,3010,0,5030,2040,,0,2,3010,0,5030,2040,0,0,407,2019/07/30 21:00,2019/08/01 9:00,36,6,朽ちた箱舟 ポラリス,H3リールガン,スクリュースロッシャー,プロモデラーMG,スクイックリンα,,普通編成,"H3リールガン,スクリュースロッシャー,プロモデラーMG,スクイックリンα"
407,1564488000,1564617600,5,310,3020,30,2000,,0,4,310,3020,30,2000,0,0,408,2019/08/01 15:00,2019/08/03 3:00,36,6,シェケナダム,わかばシューター,L3リールガン,クラッシュブラスター,リッター4K,,普通編成,"わかばシューター,L3リールガン,クラッシュブラスター,リッター4K"
408,1564639200,1564768800,1,10,300,230,2030,,0,0,10,300,230,2030,0,0,409,2019/08/03 9:00,2019/08/05 3:00,42,6,難破船ドン･ブラコ,ノヴァブラスター,スプラスピナー,キャンピングシェルター,緑？ (クマサン印のチャージャー),クマサン印のチャージャー,一緑編成,"ノヴァブラスター,スプラスピナー,キャンピングシェルター,緑？ (クマサン印のチャージャー)"
409,1564790400,1564941600,2,200,4000,6010,-1,7020,1,1,200,4000,6010,8020,1,0,410,2019/08/05 9:00,2019/08/06 21:00,36,6,トキシラズいぶし工房,.96ガロン,スプラマニューバー,ホクサイ,ラピッドブラスター,,普通編成,".96ガロン,スプラマニューバー,ホクサイ,ラピッドブラスター"
410,1564963200,1565092800,4,80,5010,1110,240,,0,3,80,5010,1110,240,0,0,411,2019/08/07 3:00,2019/08/08 15:00,36,6,難破船ドン･ブラコ,プライムシューター,.52ガロン,ヒッセン,4Kスコープ,,普通編成,"プライムシューター,.52ガロン,ヒッセン,4Kスコープ"
411,1565114400,1565244000,2,70,50,3010,2040,,0,1,70,50,3010,2040,0,0,412,2019/08/08 21:00,2019/08/10 9:00,36,6,海上集落シャケト場,ケルビン525,スプラシューター,カーボンローラー,スプラスコープ,,普通編成,"ケルビン525,スプラシューター,カーボンローラー,スプラスコープ"
412,1565265600,1565395200,3,5020,40,1000,2020,,0,2,5020,40,1000,2020,0,0,413,2019/08/10 15:00,2019/08/12 9:00,42,6,シェケナダム,N-ZAP85,ホットブラスター,エクスプロッシャー,バレルスピナー,,普通編成,"N-ZAP85,ホットブラスター,エクスプロッシャー,バレルスピナー"
413,1565416800,1565568000,1,60,210,3040,4010,,0,0,60,210,3040,4010,0,0,414,2019/08/12 15:00,2019/08/14 3:00,36,6,朽ちた箱舟 ポラリス,パブロ,ダイナモローラー,シャープマーカー,14式竹筒銃・甲,,普通編成,"パブロ,ダイナモローラー,シャープマーカー,14式竹筒銃・甲"
414,1565589600,1565719200,5,1100,1020,20,2050,,0,4,1100,1020,20,2050,0,0,415,2019/08/14 9:00,2019/08/15 21:00,36,6,トキシラズいぶし工房,パラシェルター,スパッタリー,プライムシューター,スプラチャージャー,,普通編成,"パラシェルター,スパッタリー,プライムシューター,スプラチャージャー"
415,1565740800,1565870400,4,6000,5000,70,2010,,0,3,6000,5000,70,2010,0,0,416,2019/08/16 3:00,2019/08/17 15:00,36,6,海上集落シャケト場,ボトルガイザー,ヒッセン,スプラマニューバー,ジェットスイーパー,,普通編成,"ボトルガイザー,ヒッセン,スプラマニューバー,ジェットスイーパー"
416,1565892000,1566021600,3,400,3010,5010,90,,0,2,400,3010,5010,90,0,0,417,2019/08/17 21:00,2019/08/19 15:00,42,6,シェケナダム,緑？ (クマサン印のスロッシャー),緑？ (クマサン印のスロッシャー),緑？ (クマサン印のスロッシャー),緑？ (クマサン印のスロッシャー),クマサン印のスロッシャー,全緑編成,"緑？ (クマサン印のスロッシャー),緑？ (クマサン印のスロッシャー),緑？ (クマサン印のスロッシャー),緑？ (クマサン印のスロッシャー)"
417,1566043200,1566194400,1,-1,-1,-1,-1,7030,2,0,8030,8030,8030,8030,4,0,418,2019/08/19 21:00,2019/08/21 9:00,36,6,難破船ドン･ブラコ,クラッシュブラスター,シャープマーカー,デュアルスイーパー,Rブラスターエリート,,普通編成,"クラッシュブラスター,シャープマーカー,デュアルスイーパー,Rブラスターエリート"
418,1566216000,1566345600,2,230,20,5030,250,,0,1,230,20,5030,250,0,0,419,2019/08/21 15:00,2019/08/23 3:00,36,6,朽ちた箱舟 ポラリス,ボールドマーカー,パラシェルター,ロングブラスター,リッター4K,,普通編成,"ボールドマーカー,パラシェルター,ロングブラスター,リッター4K"
419,1566367200,1566496800,5,0,6000,220,2030,,0,4,0,6000,220,2030,0,0,420,2019/08/23 9:00,2019/08/24 21:00,36,6,トキシラズいぶし工房,ヴァリアブルローラー,N-ZAP85,ヒッセン,14式竹筒銃・甲,,普通編成,"ヴァリアブルローラー,N-ZAP85,ヒッセン,14式竹筒銃・甲"
420,1566518400,1566648000,4,1030,60,3010,2050,,0,3,1030,60,3010,2050,0,0,421,2019/08/25 3:00,2019/08/26 21:00,42,6,海上集落シャケト場,H3リールガン,スプラローラー,スプラマニューバー,4Kスコープ,,普通編成,"H3リールガン,スプラローラー,スプラマニューバー,4Kスコープ"
421,1566669600,1566820800,3,310,1010,5010,2040,,0,2,310,1010,5010,2040,0,0,422,2019/08/27 3:00,2019/08/28 15:00,36,6,難破船ドン･ブラコ,クアッドホッパーブラック,スパイガジェット,ダイナモローラー,スプラスコープ,,普通編成,"クアッドホッパーブラック,スパイガジェット,ダイナモローラー,スプラスコープ"
422,1566842400,1566972000,2,5040,6020,1020,2020,,0,1,5040,6020,1020,2020,0,0,423,2019/08/28 21:00,2019/08/30 9:00,36,6,シェケナダム,.52ガロン,デュアルスイーパー,L3リールガン,キャンピングシェルター,,普通編成,".52ガロン,デュアルスイーパー,L3リールガン,キャンピングシェルター"
423,1566993600,1567123200,1,50,5030,300,6010,,0,0,50,5030,300,6010,0,0,424,2019/08/30 15:00,2019/09/01 3:00,36,6,海上集落シャケト場,クーゲルシュライバー,N-ZAP85,.96ガロン,スプラチャージャー,,普通編成,"クーゲルシュライバー,N-ZAP85,.96ガロン,スプラチャージャー"
424,1567144800,1567274400,3,4030,60,80,2010,,0,2,4030,60,80,2010,0,0,425,2019/09/01 9:00,2019/09/03 3:00,42,6,トキシラズいぶし工房,スクリュースロッシャー,スプラシューター,4Kスコープ,緑？ (クマサン印のブラスター),クマサン印のブラスター,一緑編成,"スクリュースロッシャー,スプラシューター,4Kスコープ,緑？ (クマサン印のブラスター)"
425,1567296000,1567447200,4,3020,40,2040,-1,7000,1,3,3020,40,2040,8000,1,0,426,2019/09/03 9:00,2019/09/04 21:00,36,6,朽ちた箱舟 ポラリス,スプラマニューバー,パラシェルター,スパッタリー,ハイドラント,,普通編成,"スプラマニューバー,パラシェルター,スパッタリー,ハイドラント"
